Ma,Kn,Re,T0,Lc_um
0.01,0.0022172110708270918,6.853486592079463,300.0,20
0.02,0.0022175014366086613,13.705178355115812,300.0,20
0.03,0.0022179854137587547,20.553281709781903,300.0,20
0.04,0.00221866305354361,27.396005574534502,300.0,20
0.05,0.002219534427725993,34.23156261038984,300.0,20
0.060000000000000005,0.0022205996285552415,41.05817046076914,300.0,20
0.06999999999999999,0.0022218587687544604,47.87405298478731,300.0,20
0.08,0.00222331198150488,54.67744148237171,300.0,20
0.09,0.0022249594204273833,61.466575909614924,300.0,20
0.09999999999999999,0.0022268012595611955,68.23970608278715,300.0,20
0.11,0.0022288376933397593,74.99509286945622,300.0,20
0.12,0.0022310689365637837,81.73100936519195,300.0,20
0.13,0.00223349522437148,88.445742054361,300.0,20
0.14,0.002236116812206001,95.13759195355142,300.0,20
0.15000000000000002,0.0022389339757800763,101.80487573620333,300.0,20
0.16,0.002241947011037859,108.4459268370604,300.0,20
0.17,0.0022451562341140084,115.05909653509835,300.0,20
0.18000000000000002,0.0022485619812899794,121.64275501363257,300.0,20
0.19,0.0022521646089475834,128.19529239635094,300.0,20
0.2,0.002255964493519778,134.71511975807078,300.0,20
0.21000000000000002,0.002259962031438743,141.20067010906578,300.0,20
0.22,0.002264157639081225,147.65039935186542,300.0,20
0.23,0.002268551752711178,154.06278720948362,300.0,20
0.24000000000000002,0.0022731448284197117,160.43633812408802,300.0,20
0.25,0.0022779373420623627,166.76958212518312,300.0,20
0.26,0.002282929789193705,173.0610756664367,300.0,20
0.27,0.002288122684999308,179.30940243034294,300.0,20
0.28,0.0022935165642250788,185.5131740999741,300.0,20
0.29000000000000004,0.0022991119811039797,191.6710310971387,300.0,20
0.3,0.0023049095092801592,197.78164328632576,300.0,20
0.31,0.0023109097417305146,203.8437106438773,300.0,20
0.32,0.002317113290683684,209.8559638918996,300.0,20
0.33,0.0023235207875365203,215.81716509648305,300.0,20
0.34,0.0023301328827680544,221.72610822986763,300.0,20
0.35000000000000003,0.0023369502458509325,227.58161969625937,300.0,20
0.36000000000000004,0.0023439735651604376,233.38255882105355,300.0,20
0.37,0.002351203547881011,239.1278183033039,300.0,20
0.38,0.0023586409199103904,244.81632463132007,300.0,20
0.39,0.002366286425761317,250.44703846135266,300.0,20
0.4,0.002374140828460889,256.0189549593764,300.0,20
0.41000000000000003,0.0023822049094475452,261.5311041060496,300.0,20
0.42000000000000004,0.002390479468465747,266.98255096497894,300.0,20
0.43,0.002398965323458332,272.37239591448594,300.0,20
0.44,0.002407663310456625,277.6997748431174,300.0,20
0.45,0.0024165742834682765,282.9638593092061,300.0,20
0.46,0.002425699114362906,288.1638566648337,300.0,20
0.47000000000000003,0.0024350386927555426,293.29901014460364,300.0,20
0.48000000000000004,0.0024445939258879064,298.36859891967964,300.0,20
0.49,0.002454365738507572,303.37193811759215,300.0,20
0.5,0.0024643550727450124,308.30837880836333,300.0,20
0.51,0.0024745628879885807,313.17730795754215,300.0,20
0.52,0.0024849901607574645,317.97814834678104,300.0,20
0.53,0.002495637884572606,322.71035846263266,300.0,20
0.54,0.002506507069825666,327.37343235427136,300.0,20
0.55,0.0025175987436460395,331.9668994608866,300.0,20
0.56,0.002528913949765953,336.49032440952664,300.0,20
0.5700000000000001,0.002540453748383691,340.94330678419794,300.0,20
0.5800000000000001,0.0025522192160249762,345.32548086705776,300.0,20
0.59,0.0025642114454025276,349.63651535256105,300.0,20
0.6,0.0025764315452738665,353.8761130354435,300.0,20
0.61,0.002588880640297353,358.04401047345135,300.0,20
0.62,0.002601559870886538,362.1399776257364,300.0,20
0.63,0.0026144703930628265,366.1638174678627,300.0,20
0.64,0.002627613378306523,370.1153655843744,300.0,20
0.65,0.0026409900134062602,373.994489739896,300.0,20
0.66,0.00265460150030688,377.801089429739,300.0,20
0.67,0.002668449055955782,381.53509541100016,300.0,20
0.68,0.0026825339121477752,385.1964692151425,300.0,20
0.6900000000000001,0.0026968573153685004,388.7852026430484,300.0,20
0.7000000000000001,0.0027114205266364185,392.30131724354504,300.0,20
0.7100000000000001,0.002726224821343428,395.74486377639334,300.0,20
0.72,0.0027412714890941493,399.11592166073274,300.0,20
0.73,0.0027565618335439134,402.4145984099699,300.0,20
0.74,0.002772097172235477,405.6410290540958,300.0,20
0.75,0.0027878788364345225,408.7953755504031,300.0,20
0.76,0.0028039081709639877,411.87782618356937,300.0,20
0.77,0.002820186534037228,414.8885949560644,300.0,20
0.78,0.0028367152970900935,417.8279209698212,300.0,20
0.79,0.0028534958446119326,420.6960678001003,300.0,20
0.8,0.002870529573975575,423.4933228624641,300.0,20
0.81,0.0028878178952663237,426.2199967737581,300.0,20
0.8200000000000001,0.0029053622311100103,428.8764227079801,300.0,20
0.8300000000000001,0.002923164016500132,431.46295574790366,300.0,20
0.8400000000000001,0.002941224698624135,433.9799722332952,300.0,20
0.85,0.0029595457366888662,436.42786910655377,300.0,20
0.86,0.002978128601745242,438.80706325657223,300.0,20
0.87,0.0029969747765121657,441.1179908616052,300.0,20
0.88,0.003016085755199742,443.36110673190086,300.0,20
0.89,0.0030354630433318368,445.53688365283017,300.0,20
0.9,0.003055108157567991,447.6458117292333,300.0,20
0.91,0.0030750226255247693,449.68839773166445,300.0,20
0.92,0.0030952079855965505,451.6651644452036,300.0,20
0.93,0.0031156657867758165,453.57665002147456,300.0,20
0.9400000000000001,0.0031363975884729747,455.4234073344838,300.0,20
0.9500000000000001,0.003157404960335763,457.20600334086737,300.0,20
0.9600000000000001,0.0031786894820682522,458.92501844511565,300.0,20
0.97,0.0032002527432495103,460.58104587031096,300.0,20
0.98,0.0032220963431519732,462.1746910348908,300.0,20
0.99,0.0032442218905595153,463.7065709359317,300.0,20
1.0,0.0032666310035853277,465.1773135394077,300.0,20
1.01,0.0032893253094895747,466.5875571778712,300.0,20
1.02,0.0033123064444969185,467.937949955962,300.0,20
1.03,0.0033355760536139304,469.2291491641366,300.0,20
1.04,0.003359135790446407,470.4618207009842,300.0,20
1.05,0.0033829873170166825,471.63663850446295,300.0,20
1.06,0.0034071323035809132,472.75428399238024,300.0,20
1.07,0.003431572428446411,473.8154455124067,300.0,20
1.08,0.0034563093777890646,474.82081780189174,300.0,20
1.09,0.0034813448454708512,475.7711014577349,300.0,20
1.1,0.003506680532857515,476.6670024165319,300.0,20
1.11,0.0035323181486364304,477.50923144520243,300.0,20
1.12,0.0035582594086346784,478.2985036422842,300.0,20
1.1300000000000001,0.0035845060356373836,479.03553795005394,300.0,20
1.1400000000000001,0.0036110597592063512,479.7210566776173,300.0,20
1.1500000000000001,0.003637922315499033,480.3557850350917,300.0,20
1.1600000000000001,0.003665095447087843,480.9404506789896,300.0,20
1.17,0.0036925809027798765,481.4757832688839,300.0,20
1.18,0.003720380437437079,481.9625140354246,300.0,20
1.19,0.003748495811796847,482.4013753597631,300.0,20
1.2,0.003776928792293161,482.79310036441336,300.0,20
1.21,0.0038056811508782097,483.1384225155755,300.0,20
1.22,0.0038347546648446265,483.43807523691873,300.0,20
1.23,0.0038641511166482745,483.69279153482245,300.0,20
1.24,0.0038938722937316922,483.90330363504313,300.0,20
1.25,0.0039239199883481695,484.0703426307769,300.0,20
1.26,0.003954295997386539,484.1946381420612,300.0,20
1.27,0.003985002122196666,484.276917986459,300.0,20
1.28,0.004016040168415686,484.31790786095024,300.0,20
1.29,0.004047411945795035,484.31833103494415,300.0,20
1.3,0.0040791192680282775,484.2789080543199,300.0,20
1.31,0.004111163952579754,484.200356456394,300.0,20
1.32,0.004143547820514117,484.0833904956943,300.0,20
1.33,0.004176272696326735,483.9287208804253,300.0,20
1.34,0.004209340407775019,483.737054519492,300.0,20
1.35,0.004242752785710699,483.50909427994395,300.0,20
1.36,0.004276511663913045,483.2455387546987,300.0,20
1.37,0.004310618878923116,482.94708204039,300.0,20
1.3800000000000001,0.004345076269878984,482.6144135251885,300.0,20
1.3900000000000001,0.004379885678352033,482.2482176864288,300.0,20
1.4000000000000001,0.00441504894818432,481.84917389787745,300.0,20
1.4100000000000001,0.004450567925326993,481.417956246474,300.0,20
1.42,0.004486444457679861,480.9552333583635,300.0,20
1.43,0.0045226803949320665,480.46166823404667,300.0,20
1.44,0.00455927758840393,479.9379180924616,300.0,20
1.45,0.004596237890889962,479.38463422381534,300.0,20
1.46,0.00463356315650306,478.8024618509769,300.0,20
1.47,0.0046712552405199425,478.19203999924014,300.0,20
1.48,0.004709315999227804,477.5540013742677,300.0,20
1.49,0.004747747289772215,476.88897224802537,300.0,20
1.5,0.004786550970006316,476.19757235250654,300.0,20
1.51,0.004825728898341279,475.48041478106165,300.0,20
1.52,0.00486528293359808,474.73810589713116,300.0,20
1.53,0.004905214934860616,473.97124525018967,300.0,20
1.54,0.004945526761330103,473.1804254987105,300.0,20
1.55,0.004986220272180904,472.36623233994754,300.0,20
1.56,0.005027297326417675,471.5292444463506,300.0,20
1.57,0.005068759782733882,470.67003340841933,300.0,20
1.58,0.005110609499371775,469.7891636837965,300.0,20
1.59,0.005152848333983712,468.8871925524236,300.0,20
1.6,0.005195478143494928,467.9646700775603,300.0,20
1.61,0.005238500783967761,467.022139072483,300.0,20
1.62,0.005281918110467273,466.0601350726827,300.0,20
1.6300000000000001,0.005325731976928373,465.0791863133714,300.0,20
1.6400000000000001,0.005369944236024401,464.0798137121195,300.0,20
1.6500000000000001,0.005414556739037161,463.0625308564505,300.0,20
1.6600000000000001,0.005459571335728476,462.02784399620725,300.0,20
1.6700000000000002,0.005504989874213221,460.9762520405237,300.0,20
1.68,0.0055508142008338585,459.90824655922904,300.0,20
1.69,0.0055970461600365114,458.824311788513,300.0,20
1.7,0.00564368759424852,457.7249246406926,300.0,20
1.71,0.005690740343757543,456.6105547179131,300.0,20
1.72,0.0057382062465922016,455.4816643296243,300.0,20
1.73,0.005786087138404255,454.33870851367703,300.0,20
