Ma  Re300_20  Re300_40  Re600_20  Re600_40  Kn300_20  Kn300_40  Kn600_20  Kn600_40
2.43939 358.108 716.215 136.961 273.921 0.0103511 0.00517556 0.0270648 0.0135324
2.47475 353.287 706.574 134.745 269.491 0.0106444 0.00532221 0.0279084 0.0139542
2.5101 348.51 697.019 132.557 265.115 0.0109445 0.00547224 0.0287744 0.0143872
2.54545 343.779 687.558 130.398 260.796 0.0112514 0.00562568 0.0296629 0.0148314
2.58081 339.098 678.196 128.268 256.536 0.0115651 0.00578255 0.0305743 0.0152872
2.61616 334.469 668.937 126.168 252.336 0.0118858 0.00594289 0.0315089 0.0157545
2.65152 329.894 659.787 124.099 248.199 0.0122135 0.00610673 0.0324671 0.0162336
2.68687 325.375 650.75 122.062 244.124 0.0125482 0.00627409 0.0334491 0.0167245
2.72222 320.914 641.828 120.057 240.114 0.01289 0.00644501 0.0344552 0.0172276
2.75758 316.512 633.024 118.084 236.169 0.013239 0.00661952 0.0354857 0.0177428
2.79293 312.17 624.34 116.145 232.289 0.0135953 0.00679763 0.0365409 0.0182705
2.82828 307.889 615.779 114.238 228.475 0.0139588 0.00697938 0.0376212 0.0188106
2.86364 303.671 607.342 112.364 224.727 0.0143296 0.00716479 0.0387267 0.0193634
2.89899 299.515 599.029 110.523 221.045 0.0147078 0.00735389 0.0398579 0.0199289
2.93434 295.422 590.843 108.715 217.429 0.0150934 0.00754671 0.0410149 0.0205074
2.9697 291.391 582.783 106.94 213.879 0.0154865 0.00774326 0.042198 0.021099
3.00505 287.425 574.85 105.197 210.394 0.0158872 0.00794358 0.0434076 0.0217038
3.0404 283.521 567.043 103.487 206.975 0.0162954 0.00814768 0.0446439 0.022322
3.07576 279.681 559.362 101.81 203.62 0.0167112 0.0083556 0.0459072 0.0229536
3.11111 275.904 551.808 100.164 200.329 0.0171347 0.00856735 0.0471977 0.0235989
3.14646 272.189 544.379 98.5505 197.101 0.0175659 0.00878295 0.0485157 0.0242579
3.18182 268.537 537.074 96.968 193.936 0.0180049 0.00900243 0.0498615 0.0249308
3.21717 264.947 529.893 95.4165 190.833 0.0184516 0.00922581 0.0512353 0.0256177
3.25253 261.418 522.835 93.8955 187.791 0.0189062 0.0094531 0.0526374 0.0263187
3.28788 257.949 515.899 92.4046 184.809 0.0193687 0.00968434 0.054068 0.027034
3.32323 254.541 509.082 90.9435 181.887 0.0198391 0.00991953 0.0555274 0.0277637
3.35859 251.193 502.385 89.5116 179.023 0.0203174 0.0101587 0.0570159 0.0285079
3.39394 247.903 495.805 88.1085 176.217 0.0208037 0.0104019 0.0585336 0.0292668
3.42929 244.671 489.341 86.7337 173.467 0.0212981 0.0106491 0.0600807 0.0300404
3.46465 241.496 482.992 85.3868 170.774 0.0218006 0.0109003 0.0616576 0.0308288
3.5 238.378 476.756 84.0672 168.134 0.0223111 0.0111555 0.0632645 0.0316323
